translation,selected_choice
诗人啊，你竟像在遥远的地方站立船头。,骚人遥驻木兰舟
他的双眼眼瞳碧绿而有光，头发金黄而弯曲，两鬓呈红色。,碧玉炅炅双目瞳，黄金拳拳两鬓红。
清晨还是西北风。,清晨西北转
柴烟中红星乱闪。,红星乱紫烟
在他们身边痛哭的只有尚未省事的儿郎。,狂叫唯童儿
月夜朦胧，用碧玉做成的栏杆和用红色的砖砌成的墙是刺史的府宅。,碧砌红轩刺史家
经过赭圻城和赤岸山。,赭圻将赤岸
引来了两只美丽的蝴蝶。,可能无意传双蝶
那家的屏风和粉壁没有珍藏你的笔墨？,家家屏障书题遍
去吴越寻山觅水。,山水寻吴越
梦中无法向那秦山归去！,无奈秦山归梦何
韩愈谈论到张旭狂草时。,退之论草书
我喝醉酒主人非常高兴。,我醉君复乐
也不要埋怨故乡太遥远。,莫恨故乡遥
一位老者在静静地垂钓，这位垂钓的老人已经历了几十个春秋的烟朝月夕。,月夕烟朝几十春
西起荆门往东与九江相通。,荆门九派通
不知道由阴阳二气构成的热能。,不知阴阳炭
下雪时就先到朗之家里拜访。,有雪先相访
详细地表述了自己的苦衷。,款曲陈此情
自说是新近里立功封官。,自道新封侯
夏天的中午，天气炎热，想不到夜晚还是那么热。,夜热依然午热同
埋住两轮啊绊住四匹马。,霾两轮兮絷四马
最可叹楚王宫殿早荡然无存。,最是楚宫俱泯灭
从常州回江阴的路上，所到之处到处都是空荡荡的篱笆院落，颓败的江村景象让人触目惊心。,处处空篱落，江村不忍看。
夜晚的枫树林中猿啼使人愁断肠。,枫树夜猿愁自断
去勾吴的道路山险水又深。,勾吴阻且深
仿佛听到了黄帝咸池优美的乐声。,粗识轩辕奏乐声
借你的东风青云直上。,倜傥假腾鶱
摩诘得到了物象内在的精神。,摩诘得之以象外
是谁将要把这春景收回去。,谁收春色将归去
好朋友呵请问你西游何时回还。,问君西游何时还
记得在瓜州渡痛击金兵， 雪夜里飞奔着楼船战舰。,楼船夜雪瓜洲渡
几百枝花朵绛烛似的辉煌。,百枝绛点灯煌煌
引吭高歌，毫不泄气。,浩歌弥激烈
用丹青绘出江海。,丹青状江海
浓密的雪片从空中飘落下来，聚集在地面上。,霏霏漠漠散还凝
登上高处万家井邑出现。,登高万井出
司马相如年老体衰时，依然像当初一样爱恋卓文君，二人的感情丝毫没有减弱。,茂陵多病后，尚爱卓文君。
千丈长的铁链沉入江底。,千寻铁锁沉江底
何况我又在韩公百年后。,我今况又百年后
岷山老人头发斑白。,皤皤岷山老
远处秋山数点，景色优美。,秋色墙头数点山
感叹我艰辛地从贼营中逃出来。,辛苦贼中来
拣起珍珠弃去沙砾。,拣珠去沙砾
更何况秦地的士兵又能够苦战。,况复秦兵耐苦战
生命随风飘转，人生历尽了艰难，人们都已不再是最初的样子了。,分散逐风转，此已非常身。
它与荷花，混杂实难。,芰荷谅难杂
战斗结束后战场上只剩下凄凉的月色。,战罢沙场月色寒
中道与空相，假名本是一回事。,趣中即空假
新月如弯弓还没有到半个圆。,初月如弓未上弦
庭院中的风携着柳絮飘来飘去。,庭中风絮去还来
恨积于胸我泪又如雨。,积恨泪如雨
就可以手摇白玉鞭和腾空道长一起乘鹤飞天了。,乘鸾着玉鞭
知己挚友不分远近。,相知无远近
雨后初晴，阳光好像在刚刚被雨洗过的碧瓦间浮动。,霁光浮瓦碧参差
四蹄磨出鲜血洒在路间。,四蹄皆血流
太寂寞了啊，想着远方的亲人、她的织梭就不由得停了下来。,停梭怅然忆远人
李白杜甫的文章像大禹劈山治水一样立下了不朽的勋绩，但只留下了一些斧凿的痕迹，人们已经难以见到当时的治水的运作过程了。,徒观斧凿痕，不瞩治水航。
听到巫峡的猿啼，我真的流下泪来。,听猿实下三声泪
如果庾信还活着，恐怕真会觉得你们这些后生可畏了。,不觉前贤畏后生
晶亮的铁刀细切青嫩的禾苗。,白铁锉青禾
我年当二十仕途坎坷不得意。,我当二十不得意
小杜杜牧曾在冶思楼怡情自乐；,小杜倡情冶思楼
春天鸟儿都向南方飞去，而有一只鸟却剩了下来，独自翱翔。,悲声命俦匹，哀鸣伤我肠。
春已深杏花盛开纷繁。,春深杏花乱
即使是天长地久也总会有尽头。,天长地久有时尽
却违心地在湘黔来去浪游。,真成浪荡游
又想想远守边防的士兵，还不是缺吃少穿。,因念远戍卒
对父母非常孝敬。,拜揖高堂里
深壑幽谷萦回曲折。,涧谷随萦回
雌雄双燕，空中叫喊。,雌雄空中鸣
从前的宫室满是一片春草荒芜。,宫室生春芜
结果把兵士弄得行走艰难，有不少掉到深深的山涧里，引起敌人的嘲笑。,连颠自欲堕深谷，虏骑笑指声嘻嘻。
芙蓉，芍药，也不过那么平常。,芙蓉芍药苦寻常
停下车来是因为喜爱深秋枫林的晚景，枫叶秋霜染过，艳比二月春花。,停车坐爱枫林晚，霜叶红于二月花。
从今后在我这个平民的梦里。,从今布袜青鞋梦
辽阔的草原像被铺在地上一样，四处都是草地。,草铺横野六七里
往事过千年尚遗憾时间过得快。,事去千年犹恨速
我这白头太守真是过份痴愚。,白头太守真愚甚
小洲洼地的新泉清澈令人叹嗟。,渚泽新泉清
甘愿长久地被弃置闲放。,久欲甘弃置
一个刚刚经过修饰打扮，从清澈明净，风景优美的鉴湖中走出来的采菱女。,越女新妆出镜心
春风也徒自节江水漾动清波。,江风亦自波
木叶萧疏冷月朗。,木衰澄清月
登上楼阁观景，攀上丛林览胜，只恨当年和我一起携手登楼，相约上山的王卿已经远去多时，景同而人已无。,踏阁攀林恨不同，楚云沧海思无穷。
昨晚我裙带忽然松弛解开。,昨夜裙带解
惆怅遥望在凄凉的秋风里。,怅望凉风前
自己惭愧所处地位太过高贵。,自惭居处崇
而今，一切都消逝了。,回首可怜歌舞地
我不介意这侵骨的寒气，只为走过野桥，贪看那高洁的梅花一眼。,不嫌寒气侵入骨，贪看梅花过野桥。
有的骑着竹马跌跌撞撞冲进了烂泥坑，有的放着风筝，风筝横冲直撞的迎风飞鸣。,竹马踉蹡冲淖去，纸鸢跋扈挟风鸣。
哪还知道这一天竟然是寒食。,那知是寒食
你才能知道与你分别后我的心情。,方知别后心
唯有一船明月和满帆清风。,一船明月一帆风
望不见平时帝王的翠辇经过。,望断平时翠辇过
依旧烟笼十里长堤。,依旧烟笼十里堤
白鹭飞来，望着那无涯的青翠，竟找不到落脚的地。,白鹭飞来无处停
至于我的诗篇，则不劳你传于世人。,将诗不必万人传
您像凤凰，志在腾身浩渺的太空。,凤凰身宇宙
一日不作诗。,一日不作诗
拿着火烛探寻那幽深洞穴。,引烛窥洞穴
天马伏枥含冤无草可食。,伏枥衔冤摧两眉
不要等到花谢时只折了个空枝。,莫待无花空折枝
庆幸免遭饥寒之苦。,幸免饥冻苦
广袤的原野香草弥漫。,得以荫菁茆
属下列将都来为你饯行送别。,列将咸出祖
酒友离散，如同秋风中的燕子。,酒徒飘落风前燕
远来的信使刚进门，我就流下眼泪。,远信入门先有泪
希望你向朝廷推荐推荐。,岁晚托深期
公子哥儿和小姐们都到哪儿去了，楼台上月光明亮，夜空中只有燕子叽叽叫。,檀郎谢女眠何处？楼台月明燕夜语。
世间万物有盛有衰，凭仗上天旨意施行。,万物盛衰天意在
边城一带如此萧条。,边城何萧条
又怎敢议论，说谷价贱了会伤我田农！,敢说谷贱复伤农
草屋边烟雨靡靡，打湿了行客的衣裳，午后鸡鸣一声将人从闲梦中唤引回了现实。,茅茨烟暝客衣湿，破梦午鸡啼一声。
踏上归途时已是黄昏。,归途行欲曛
任由马匹自由地行走兴致悠长。,信马悠悠野兴长
故友是一个千古不朽的人。,独自成千古
雨后初晴天色朗。,兹辰始澄霁
云山冷寂更不堪落寞的过客。,云山况是客中过
落花满地，残叶堆积，时间已近黄昏；,落花狼藉近黄昏
如今却在秋寒被窝里把太子车辇梦想。,秋衾梦铜辇
海上那五百壮士，听说田横已死，同日里一起自杀。,海上五百人，同日死田横。
凄怆地缅怀汉相诸葛。,凄其望诸葛
鲜华光洁往往是事物外表的装饰。,华洁事外饰
冬至之后，白天渐长而黑夜渐短。,冬至至后日初长
多少次在春风中翩然起舞。,为舞春风多
我一天天疲劳下去，越来越没有气力，却一刻也不能停止纺织。,筋力日已疲，不息窗下机。
目前空气极不清爽，时疫流行。,金家香弄千轮鸣
浑然天成的紫檀金屑文。,浑成紫檀金屑文
花朵中填满金粉般花蕊。,满蕊攒黄粉
且愿收心于秋毫笔墨之中。,且愿束心秋毫里
家书寄到旅馆已时隔一年。,家书到隔年
今年春天眼看就要过去。,今春看又过
昨天告别时熨在脸上的酒酡红色还没有消退。,别时酒犹在
不种嘉木蔬果却只种华而不实的蔷薇。,不栽桃李种蔷薇
现实却困我在冷江上无言垂钓。,江湖满地一渔翁
等到明年东风将春草染绿的时候。,东风春草绿
为什么苦苦想这些问题，只因新蟹上市，对饮的往事在萦绕。,问胡苦思之，对酒把新蟹。
或在泛起清光的河上泛舟。,漾舟清光旁
在零霜下雪的时候，它就在路边开放了。,映雪拟寒开
李公谈吐不凡，令满座一见倾倒。,一见能倾座
喜鹊捧出金印。,喜鹊捧金印
汉朝的匡衡向皇帝直谏，他把功名看得很淡薄，刘向传授经学。,匡衡抗疏功名薄
周先生隐居在丹阳横山。,周子横山隐
洁白的冰雪凝聚了江山。,素雪晓凝华
卫青不败是由于天神辅助。,卫青不败由天幸
没有雨点也没有风声。,无点亦无声
身上无完肤，遍体是裂痕和伤疤。,身上无有完肌肤
衢州出现了人吃人的惨痛场景。,衢州人食人
使人头上的白发增多。,添人白发多
鹧鸪在温暖的烟色荒地上面嬉戏，只见他们五彩斑斓的羽毛那么整齐。,暖戏烟芜锦翼齐
贫居陋巷怀疑春天也少。,贫疑陋巷春偏少
冯淑妃请求后主再重新围猎一次。,更请君王猎一围
火云铺山盖岭凝滞不开。,火云满山凝未开
邀我去他家尝春酒。,邀我尝春酒
恰似一阵巨浪拍打船舷，不禁使人趔趄踉跄。,波浪争掀舞
闲云有时飘入窗内。,闲云入窗牖
得道成仙是无从盼望的。,仙驾不可望
世道的变迁，时局的动荡，国运今非昔比。,王侯第宅皆新主
你如今回去正好顺路帮我捎份家书。,一为到柴扉
我哪敢违背渔父的关问呢。,敢违渔父问
他家常有宾客来，孩子们都习惯了，总是乐呵呵的，鸟雀也常常在台阶上觅食，它们已被驯服了。,惯看宾客儿童喜，得食阶除鸟雀驯。
所以唯恐这天有云遮月。,长恐有云生
尸骨遍野血流成河。,流血涂野草
关东的诸州郡将领。,关东有义士
辛辛苦苦忙了三十天。,辛勤三十日
因此花的颜色还和以前一样鲜艳。,移来色如故
但与她一见情深。,相见情已深
在治水的日子里，他三过家门而不入，一心勤劳为公。,杀湍湮洪水
燕子还未来花却已经纷纷飘落。,燕子不来花又落
向背低昂，变幻出无数的形状。,向背万态随低昂
多情人离去以后余香还留在枕边。,多情去后香留枕
它不需要别人夸奖颜色多么好看。,不要人夸好颜色
原本知道死去之后就什么也没有了。,死去元知万事空
怀念起往日的君主，铜人流下如铅水的泪滴。,忆君清泪如铅水
不要说从山岭上下来就没有困难。,莫言下岭便无难
闲静无事，与农人的菜圃为邻，有的时候就像个山林中的隐士。,闲依农圃邻，偶似山林客。
高高的桥与幽幽的小路相连。,危桥属幽径
陛下应运而起，即位于灵武。,陛下应运起
若教村姑了解赏花之类事。,若教解爱繁华事
是谁将汉人女子嫁给胡人，风沙是无情的，而女子容貌如此美丽。,谁将汉女嫁胡儿，风沙无情貌如玉。
出行的人还没有归来的日期。,行人犹未有归期
南飞的大雁呀，你们振翅高飞，可是怎能将我的思绪传与荆州的故人？,目尽南飞雁，何由寄一言。
掸开尘埃生出嫩绿之色。,拂尘生嫩绿
放眼观看大千世界。,眼界穷大千
我余生已无多，势必将老死在这偏僻的海南荒村了，天帝该会派遣巫阳来召还我的游魂吧。,余生欲老海南村，帝遣巫阳招我魂。
吹来的叶子落在小溪裏，在溪水中激起了层层涟漪。,一叶飞来浪细生
誓死要横扫匈奴个个都奋不顾身。,誓扫匈奴不顾身
修炼三丹和积学道已初成。,琴心三叠道初成
深山里至今推崇大禹的丰功。,深山尚禹功
我早与嵩山南面的松雪两心相期。,嵩阳松雪有心期
十家缴纳的租税九家已送完。,十家租税九家毕
春天像青又像白、不浓又不淡的天色，正是初晴景象。,似青似白天浓淡
你有什么可珍爱的？,如君何足珍
瞻望鼎湖江山渺远。,鼎湖瞻望远
如此华发还为区区五斗米折腰。,华发长折腰
里面装着一双白羽箭，一直挂在堵上。,中有一双白羽箭
在秋凉之夜四顾凄迷，倍感孤寂。,石镜秋凉夜
高耸的发髻如同轻挽着一段巫山烟云。,鬓耸巫山一段云
而晋楚的国势趁此壮大兴隆。,晋楚更张皇
剑佩声随早朝登阶趋步。,剑佩声随玉墀步
闻道朝廷大赦赐酺，奏钧天乐章。,汉酺闻奏钧天乐
雪中来到大地边缘。,雪中行地角
桌面上全是美味佳肴。,肴馔纵横陈
小寒时节，勉强吃一点饭，靠着乌几，席地而坐，乌几已经破旧，缝了很多遍了，头上戴着褐色的帽子。,佳辰强饮食犹寒，隐几萧条戴鹖冠。
一望无边昏暗无光。,万里无晶光
离思忧愁的心情是不分古今的。,离忧罔古今
驰聘疆场、转战南北是为了报答皇上对我的信任，南北江畔和北方边关的花草都笑我一生忙忙碌碌。,南北驱驰报主情，江花边草笑平生。
来到水边那百尺清潭映出她们效好的容颜。,百尺清潭写翠娥
军鼓号角，响声振动江城。,鼓角动江城
把忧愁痛苦全忘掉吧。,舒忧娱哀兮
老朋友啊，千万不要任性为人行事，而忘掉了机巧权变，想想我如此凄然寂寞，当以为戒。,丈人本自忘机事，为想年来憔悴容。
当天玉花骢被牵到殿中红阶下。,是日牵来赤墀下
而河豚此时正要逆流而上，从大海回游到江河里来了。,正是河豚欲上时
